Group,APM,Appearances,year,team,MIN,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,player_1,player_2,player_3,player_4,player_5,player_1_rapm,player_2_rapm,player_3_rapm,player_4_rapm,player_5_rapm,player_rapm_sum,season,player_1_pass_out,player_2_pass_out,player_3_pass_out,player_4_pass_out,player_5_pass_out,std_pass_out
-2594-200794-201143-201952-201960-,8.360123449372988,1563,2014,Atlanta Hawks,391.95666666666665,24,40.8,82.7,0.493,6.6,18.5,0.356,13.3,20.4,0.652,8.1,32.8,40.9,27.9,14.7,9.3,5.6,17.3,101.5,0.6,Kyle Korver,Paul Millsap,Al Horford,Jeff Teague,DeMarre Carroll,1.184278939099726,0.4838611356024352,0.5700929152659503,0.2027261758475655,1.3584253748574149,3.799384540673092,2013-14,20.085714285714285,29.68493150684931,32.58620689655172,36.98717948717949,22.520547945205482,7.0108249228919535
-1718-2207-2733-101114-203486-,11.250059117260488,1051,2014,Brooklyn Nets,284.76,26,41.5,81.9,0.507,11.3,27.9,0.405,17.0,20.6,0.826,8.7,28.9,37.5,25.1,15.7,13.0,3.8,20.2,111.3,3.4,Paul Pierce,Joe Johnson,Shaun Livingston,Deron Williams,Mason Plumlee,0.5520200248913764,0.5692803263083484,0.5885096385693049,3.082249522972805,-1.1482354368250085,3.643824075916826,2013-14,21.83783783783784,17.0,22.0,33.25,11.26086956521739,8.102327049953496
-2200-201975-202325-203088-203527-,8.66954849876484,812,2014,Los Angeles Lakers,193.04333333333332,15,39.1,87.1,0.448,10.2,26.0,0.393,16.5,19.7,0.84,7.5,30.6,38.1,26.9,12.6,6.6,6.3,15.8,104.9,-1.5,Pau Gasol,Jodie Meeks,Wesley Johnson,Kendall Marshall,Ryan Kelly,-0.6300594077411655,-1.670100070706635,-0.3356128902581889,0.7601154476603358,0.7971605454375139,-1.0784963756081394,2013-14,23.016666666666666,13.714285714285715,12.227848101265822,39.01851851851852,15.576271186440678,11.042697243063783
-2755-201147-201567-201937-203476-,5.1566079199120205,906,2014,Minnesota Timberwolves,225.91166666666666,16,40.3,85.3,0.472,8.4,23.6,0.358,21.4,25.5,0.839,9.7,29.0,38.7,29.7,13.0,9.1,3.5,15.2,110.4,-0.6,Kevin Martin,Corey Brewer,Kevin Love,Ricky Rubio,Gorgui Dieng,-1.304779829172877,1.2513364649138647,1.3595094417292612,2.492847129238065,-0.9434372156756328,2.8554759910326815,2013-14,21.77941176470588,18.50617283950617,46.36363636363637,50.78048780487805,6.4,19.030428945597205
-200751-201163-201581-201951-202702-,7.19733504282006,2019,2014,Denver Nuggets,490.03333333333336,40,41.3,86.0,0.48,8.8,25.0,0.354,16.6,24.9,0.668,12.4,32.7,45.1,25.7,15.5,6.9,5.2,19.4,108.1,2.0,Randy Foye,Wilson Chandler,JJ Hickson,Ty Lawson,Kenneth Faried,0.2760227677683639,-1.1576485095674998,-0.8812287163695923,1.6834643100753603,0.0852254859179486,0.005835337824580733,2013-14,17.469135802469136,20.032258064516128,21.63768115942029,37.54838709677419,18.175,8.309426459970485
-2570-200757-201142-201586-202704-,12.251144583200947,2161,2014,Oklahoma City Thunder,549.7166666666667,31,41.4,85.7,0.483,6.7,19.7,0.341,16.0,19.4,0.822,9.7,38.0,47.7,22.3,15.9,8.1,7.3,17.6,105.4,6.9,Kendrick Perkins,Thabo Sefolosha,Kevin Durant,Serge Ibaka,Reggie Jackson,-1.1211750478121774,-0.8680796443880232,2.501268855107143,2.6668866958645188,1.6002632132359258,4.7791640720073865,2013-14,15.806451612903226,13.98360655737705,19.851851851851855,19.691358024691358,23.0125,3.579725854219666
-2730-201935-201976-202718-203093-,10.829140584928195,2541,2014,Houston Rockets,620.0016666666667,35,41.6,84.0,0.496,8.7,23.5,0.37,18.9,27.9,0.676,11.2,35.3,46.5,22.5,15.4,8.0,6.0,18.9,110.8,5.5,Dwight Howard,James Harden,Patrick Beverley,Chandler Parsons,Terrence Jones,1.4108994473108571,2.622493846839349,2.418862982222521,0.9353588948971036,-1.1309738937877374,6.256641277482093,2013-14,28.366197183098592,27.986301369863014,34.625,25.864864864864863,19.13157894736842,5.567557341996354
-101106-101135-201939-202691-203084-,3.584818659315504,1294,2014,Golden State Warriors,315.685,36,37.1,83.4,0.446,7.6,22.4,0.338,14.0,18.3,0.764,11.3,38.0,49.3,21.7,18.3,5.8,4.8,22.0,95.8,-5.6,Andrew Bogut,David Lee,Stephen Curry,Klay Thompson,Harrison Barnes,0.1497247085172101,1.8725559236613296,2.295928808583452,1.4820908734859957,-1.935500704946846,3.8647996093011416,2013-14,25.742424242424242,25.029411764705884,35.41558441558441,12.35,9.83116883116883,10.533655964017223
-2755-201147-201567-201593-201937-,12.836122922510738,4376,2014,Minnesota Timberwolves,1052.3233333333333,51,42.3,88.3,0.479,7.8,19.8,0.394,22.2,26.9,0.825,11.9,32.8,44.7,27.5,13.7,9.5,1.9,16.2,114.6,12.2,Kevin Martin,Corey Brewer,Kevin Love,Nikola Pekovic,Ricky Rubio,-1.304779829172877,1.2513364649138647,1.3595094417292612,2.06716886790311,2.492847129238065,5.866082074611424,2013-14,23.602941176470587,20.345679012345677,49.116883116883116,18.40740740740741,54.70731707317073,17.263134573114105
-2561-201579-201588-202331-202362-,11.806547844806058,6955,2014,Indiana Pacers,1468.4066666666668,73,40.2,85.3,0.471,7.0,18.5,0.379,18.3,22.9,0.797,10.0,37.6,47.6,23.6,15.7,6.8,6.8,20.0,105.7,9.4,David West,Roy Hibbert,George Hill,Paul George,Lance Stephenson,1.9281661667484555,0.3513747456335863,0.8415074350931107,1.6176752871934916,0.7122210407164621,5.450944675385106,2013-14,39.900000000000006,21.88888888888889,49.01315789473685,33.35,26.30769230769231,10.798561801748153
