Group,APM,Appearances,year
"('Al Horford', 'DeMarre Carroll', 'Jeff Teague', 'Kyle Korver', 'Paul Millsap')",8.360123449372988,1563,2014
"('Deron Williams', 'Joe Johnson', 'Mason Plumlee', 'Paul Pierce', 'Shaun Livingston')",11.250059117260488,1051,2014
"('Jodie Meeks', 'Kendall Marshall', 'Pau Gasol', 'Ryan Kelly', 'Wesley Johnson')",8.66954849876484,812,2014
"('Corey Brewer', 'Gorgui Dieng', 'Kevin Love', 'Kevin Martin', 'Ricky Rubio')",5.1566079199120205,906,2014
"('JJ Hickson', 'Kenneth Faried', 'Randy Foye', 'Ty Lawson', 'Wilson Chandler')",7.19733504282006,2019,2014
"('Kendrick Perkins', 'Kevin Durant', 'Reggie Jackson', 'Serge Ibaka', 'Thabo Sefolosha')",12.251144583200947,2161,2014
"('Chandler Parsons', 'Dwight Howard', 'James Harden', 'Patrick Beverley', 'Terrence Jones')",10.829140584928195,2541,2014
"('Andrew Bogut', 'David Lee', 'Harrison Barnes', 'Klay Thompson', 'Stephen Curry')",3.584818659315504,1294,2014
"('Corey Brewer', 'Kevin Love', 'Kevin Martin', 'Nikola Pekovic', 'Ricky Rubio')",12.836122922510738,4376,2014
"('David West', 'George Hill', 'Lance Stephenson', 'Paul George', 'Roy Hibbert')",11.806547844806058,6955,2014
"('Bradley Beal', 'John Wall', 'Marcin Gortat', 'Trevor Ariza', 'Trevor Booker')",7.718895980496929,2786,2014
"('John Wall', 'Marcin Gortat', 'Martell Webster', 'Trevor Ariza', 'Trevor Booker')",6.563853996673885,847,2014
"('Al Jefferson', 'Anthony Tolliver', 'Gerald Henderson', 'Josh McRoberts', 'Kemba Walker')",6.670907167187192,820,2014
"('Kendrick Perkins', 'Kevin Durant', 'Russell Westbrook', 'Serge Ibaka', 'Thabo Sefolosha')",9.422134259873753,2001,2014
"('Courtney Lee', 'Marc Gasol', 'Mike Conley', 'Tayshaun Prince', 'Zach Randolph')",12.490467862421562,2444,2014
"('Al Jefferson', 'Gerald Henderson', 'Josh McRoberts', 'Kemba Walker', 'Michael Kidd-Gilchrist')",11.630663933628444,2122,2014
"('DeMarre Carroll', 'Jeff Teague', 'Kyle Korver', 'Paul Millsap', 'Pero Antic')",12.300479461606908,1553,2014
"('Carlos Boozer', 'Jimmy Butler', 'Joakim Noah', 'Kirk Hinrich', 'Mike Dunleavy')",9.038641334551304,2837,2014
"('D.J. Augustin', 'Jimmy Butler', 'Joakim Noah', 'Mike Dunleavy', 'Taj Gibson')",12.25056610252681,828,2014
"('D.J. Augustin', 'Jimmy Butler', 'Joakim Noah', 'Kirk Hinrich', 'Taj Gibson')",9.784608243138749,938,2014
"('Henry Sims', 'Hollis Thompson', 'James Anderson', 'Michael Carter-Williams', 'Thaddeus Young')",-0.0678168149217144,1227,2014
"('Damian Lillard', 'LaMarcus Aldridge', 'Nicolas Batum', 'Robin Lopez', 'Wesley Matthews')",10.702318697075452,6284,2014
"('Channing Frye', 'Eric Bledsoe', 'Goran Dragic', 'Miles Plumlee', 'P.J. Tucker')",11.525158537075718,1696,2014
"('Amir Johnson', 'DeMar DeRozan', 'Jonas Valanciunas', 'Kyle Lowry', 'Terrence Ross')",8.331326623627614,3036,2014
"(""Amar'e Stoudemire"", 'Carmelo Anthony', 'JR Smith', 'Raymond Felton', 'Tyson Chandler')",6.588936878516691,1051,2014
"('Bradley Beal', 'John Wall', 'Marcin Gortat', 'Nene', 'Trevor Ariza')",10.790679494487392,2709,2014
