Player,APM,Appearances,RAPM,year
Al Horford,4.584795277029875,3772,0.5427146143009661,2014
DeMarre Carroll,1.4718961579510403,10121,1.345495789498529,2014
Kyle Korver,1.3453920758550575,10380,1.1609531463687368,2014
Jeff Teague,-1.0246693781481069,10945,0.1939240109599178,2014
Paul Millsap,2.4989626317139706,10735,0.4755329432035678,2014
CJ Miles,4.3920774584178455,3849,1.389492148600146,2014
Earl Clark,-3.9825150907618143,2975,-1.8568921059729968,2014
Andrew Bynum,-0.3744934746480748,2011,-1.035000892370531,2014
Kyrie Irving,-0.0079539863203469,9531,-0.9373619601533504,2014
Tristan Thompson,0.022447709710546,9844,-0.613658532182887,2014
Elton Brand,3.670799238493649,5844,-0.1365370075436128,2014
Dion Waiters,1.6475478021607612,7868,0.4574139327477544,2014
Jarrett Jack,-2.1068269578158203,8538,-1.719064790091699,2014
Lou Williams,-3.6317023370800574,6181,-1.8281869710419127,2014
Shelvin Mack,1.7537550508583823,6239,0.962446946345452,2014
Anderson Varejao,3.631138764314786,6718,1.723234490115399,2014
Matthew Dellavedova,6.582304438502845,4930,2.3652952526593034,2014
Dennis Schroder,-8.405635794031635,2527,-2.87185715773966,2014
Mike Scott,0.3639146642882501,6416,-1.5114804350950846,2014
Anthony Bennett,-3.893176208092804,2646,-1.4546670552531555,2014
Gustavo Ayon,3.505962900082271,1681,-0.0645071755247377,2014
Tyler Zeller,1.0469224590903603,4089,0.4023395801870728,2014
Josh McRoberts,5.05799769467389,9352,1.2196896774420585,2014
Gerald Henderson,-5.2207196690129205,9668,-1.8368445186972664,2014
Luke Ridnour,1.2435605681015942,4457,-0.7160377120626701,2014
Michael Kidd-Gilchrist,2.6895453363091155,5990,1.0373161081798432,2014
Al Jefferson,-0.3395233522551464,10047,0.1997763089004796,2014
Phil Pressey,1.735408488358445,4387,0.2023085840108717,2014
Jared Sullinger,1.4192407139325414,7943,1.110835448393635,2014
Brandon Bass,-3.0061610398269343,8840,-1.5503052733627936,2014
Jeff Green,0.3796085046020982,11022,-1.0292013737761412,2014
Avery Bradley,5.252958986202785,7295,1.3409147691213672,2014
Cody Zeller,0.154746525591872,5780,-1.0672273974727409,2014
Jerryd Bayless,1.2027541611521089,6428,-0.2736357783844348,2014
Gary Neal,-3.0182503224592243,4668,-1.7850687884627414,2014
Kris Humphries,-1.0031421598514596,5300,-0.3059771975724737,2014
Jannero Pargo,-4.728131358960547,948,-1.2667175201767895,2014
Kelly Olynyk,-1.3549527474461074,5545,-0.1306976165787405,2014
Chris Douglas-Roberts,-0.2328813741697522,4127,-0.0635189076388342,2014
Bismack Biyombo,-1.7853549449410404,4267,-0.5205249159779235,2014
Chris Johnson,3.099297399390845,3072,0.3660647370726852,2014
Nene,-0.1571315034515139,7194,-0.0041341823194471,2014
Martell Webster,0.1647041401552256,8913,-0.7567580934471945,2014
John Wall,-0.6944784079813372,13026,0.4443662059014928,2014
Marcin Gortat,6.4353113877339565,11535,2.7683548738130743,2014
Bradley Beal,1.6803799063845537,11294,0.3986602476655686,2014
Kevin Seraphin,1.2542622380046708,2234,-0.052022536014094,2014
Alonzo Gee,-4.607814748167128,3998,-2.123624326029444,2014
Sergey Karasev,-5.90507247483741,636,-1.201763934918574,2014
Glen Rice,6.007569890126583,424,0.3310057915003355,2014
Garrett Temple,-1.1242547306360928,2482,-0.9638899351187804,2014
Jan Vesely,-2.9587075688939044,3041,-1.576633568192849,2014
Shaun Livingston,1.442738583103376,8517,0.4571714432157715,2014
Joe Johnson,2.809811835894968,11399,0.5823836078339314,2014
Paul Pierce,1.7285294185707882,9261,0.5725956134601945,2014
Mason Plumlee,-2.567557723110004,5241,-0.992606221514774,2014
Deron Williams,5.595461361853669,9406,2.9509409608571624,2014
Greg Stiemsma,-1.8005285313374186,3839,-1.2382132427103725,2014
Al-Farouq Aminu,-0.9298179501278668,7831,-0.7066627552361995,2014
Brian Roberts,3.083005209400787,6366,-0.0010771770880737,2014
Anthony Davis,4.767958605199805,9084,1.5299499214250432,2014
Tyreke Evans,-3.793157662830304,7753,-1.7598844175178936,2014
Alan Anderson,4.057097576017772,7687,0.5685016179815938,2014
Alexis Ajinca,-0.2623612016150575,3639,-0.5404863012100836,2014
Marcus Thornton,1.1725664897748962,7169,0.1072939075989215,2014
Mirza Teletovic,-0.5301574396849102,6168,-0.9645094487361174,2014
Andray Blatche,-0.5732894756846727,6869,0.039718937200194,2014
Anthony Morrow,-0.2136424139668409,5432,0.3172906371689306,2014
Austin Rivers,2.7611480052483115,5118,0.8177191233988489,2014
Luke Babbitt,5.9263958560932135,1775,1.543064164445637,2014
Darius Miller,3.755257810910822,2786,1.4950599230189283,2014
Jorge Gutierrez,-3.330639914908436,953,-0.95854877425143,2014
Jeff Withey,2.7697312983607647,2632,0.6959690496037905,2014
Kosta Koufos,1.7013207296654818,5243,0.4308162130928886,2014
Tony Allen,3.1367601479067697,5629,1.441880305329816,2014
Zach Randolph,4.028894458668041,10812,1.553447556714897,2014
Mike Conley,1.627531833008708,10048,1.0093237386357696,2014
Tayshaun Prince,-0.4942913932613532,7588,0.1357492033133092,2014
Jason Smith,-0.6977292521981896,3154,-0.2743925024500073,2014
Eric Gordon,-4.652809123132987,7937,-1.935676462034684,2014
Ryan Anderson,3.4460204160423267,3042,1.2042900237939296,2014
Jrue Holiday,6.550781426413789,4416,1.581343122706063,2014
Jon Leuer,0.938897462005193,2514,-0.1191126107198924,2014
Nick Calathes,0.0558797278541098,4404,0.2205072171933959,2014
Ed Davis,2.202627215176946,3683,0.8211822798576941,2014
Mike Miller,-3.03598495440696,7080,-1.7732383710736,2014
Lou Amundson,-5.562329623757215,702,-0.7164063950625978,2014
Joakim Noah,5.9721835267517465,11122,1.3888177838025892,2014
Tony Snell,-5.147495706288454,4717,-2.456185748117873,2014
Carlos Boozer,-0.7838775570948971,8613,-1.7729558827039562,2014
Kirk Hinrich,-0.7071444898142853,8449,0.4586462906725921,2014
Luol Deng,2.8199878949886816,8391,1.3843127797790469,2014
Taj Gibson,4.704248226194264,9158,1.502627584671555,2014
Mike Dunleavy,0.575910541064131,10255,0.841917445996784,2014
Nazr Mohammed,3.4618197366040144,2087,-0.2395935150777964,2014
Mike James,-2.9845176338836303,262,-0.2329830403194359,2014
Marquis Teague,-3.1560524343644545,1674,-1.3800254267625438,2014
Wesley Johnson,0.6045559355047678,9321,-0.3815691473943727,2014
Jodie Meeks,-1.2422505168155535,10600,-1.6968075921995,2014
Ryan Kelly,2.002604318851891,5447,0.785586233256351,2014
Pau Gasol,-0.959798363999288,7771,-0.6475465074968761,2014
Kendall Marshall,3.8249227713600336,6471,0.7587281634416204,2014
Jimmy Butler,2.1414279666118725,10386,1.463501793711196,2014
Nick Young,3.4958255543309704,7389,1.255177807314411,2014
Manny Harris,-5.009921484903993,718,-0.8978427601112839,2014
D.J. Augustin,-2.5219706999548035,7636,-0.5169869765882174,2014
Jordan Hill,-2.430662123840767,6068,-1.4654284656517087,2014
Robert Sacre,-3.171359837706473,4526,-1.0680610798756989,2014
Kevin Martin,-5.35398568273895,8913,-1.3600341243673777,2014
Gorgui Dieng,1.0604813472308965,3279,-0.8650389770619209,2014
Corey Brewer,0.5350955196068768,10775,1.2096256427550611,2014
Ricky Rubio,5.334701568427951,10740,2.4784295504341656,2014
Kevin Love,3.984382532477615,11441,1.3395686127057935,2014
Dirk Nowitzki,3.6259701351137945,11233,1.7820041049111397,2014
Samuel Dalembert,0.4449906488702575,6765,0.6413250112929451,2014
Jose Calderon,1.2819115687184972,10389,0.0542538172460459,2014
