Group,APM,Group_Appearances,year,team,MIN,GP,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS,player_1,player_2,player_3,player_4,player_5,player_1_rapm,player_2_rapm,player_3_rapm,player_4_rapm,player_5_rapm,player_rapm_sum
-2594-200794-201143-201952-201960-,8.360123449,1563,2014,Atlanta Hawks,391.9566667,24,40.8,82.7,0.493,6.6,18.5,0.356,13.3,20.4,0.652,8.1,32.8,40.9,27.9,14.7,9.3,5.6,17.3,101.5,0.6,Kyle Korver,Paul Millsap,Al Horford,Jeff Teague,DeMarre Carroll,1.184278939,0.483861136,0.570092915,0.202726176,1.358425375,3.799384541
-1718-2207-2733-101114-203486-,11.25005912,1051,2014,Brooklyn Nets,284.76,26,41.5,81.9,0.507,11.3,27.9,0.405,17,20.6,0.826,8.7,28.9,37.5,25.1,15.7,13,3.8,20.2,111.3,3.4,Paul Pierce,Joe Johnson,Shaun Livingston,Deron Williams,Mason Plumlee,0.552020025,0.569280326,0.588509639,3.082249523,-1.148235437,3.643824076
-2200-201975-202325-203088-203527-,8.669548499,812,2014,Los Angeles Lakers,193.0433333,15,39.1,87.1,0.448,10.2,26,0.393,16.5,19.7,0.84,7.5,30.6,38.1,26.9,12.6,6.6,6.3,15.8,104.9,-1.5,Pau Gasol,Jodie Meeks,Wesley Johnson,Kendall Marshall,Ryan Kelly,-0.630059408,-1.670100071,-0.33561289,0.760115448,0.797160545,-1.078496376
-2755-201147-201567-201937-203476-,5.15660792,906,2014,Minnesota Timberwolves,225.9116667,16,40.3,85.3,0.472,8.4,23.6,0.358,21.4,25.5,0.839,9.7,29,38.7,29.7,13,9.1,3.5,15.2,110.4,-0.6,Kevin Martin,Corey Brewer,Kevin Love,Ricky Rubio,Gorgui Dieng,-1.304779829,1.251336465,1.359509442,2.492847129,-0.943437216,2.855475991
-200751-201163-201581-201951-202702-,7.197335043,2019,2014,Denver Nuggets,490.0333333,40,41.3,86,0.48,8.8,25,0.354,16.6,24.9,0.668,12.4,32.7,45.1,25.7,15.5,6.9,5.2,19.4,108.1,2,Randy Foye,Wilson Chandler,JJ Hickson,Ty Lawson,Kenneth Faried,0.276022768,-1.15764851,-0.881228716,1.68346431,0.085225486,0.005835338
-2570-200757-201142-201586-202704-,12.25114458,2161,2014,Oklahoma City Thunder,549.7166667,31,41.4,85.7,0.483,6.7,19.7,0.341,16,19.4,0.822,9.7,38,47.7,22.3,15.9,8.1,7.3,17.6,105.4,6.9,Kendrick Perkins,Thabo Sefolosha,Kevin Durant,Serge Ibaka,Reggie Jackson,-1.121175048,-0.868079644,2.501268855,2.666886696,1.600263213,4.779164072
-2730-201935-201976-202718-203093-,10.82914058,2541,2014,Houston Rockets,620.0016667,35,41.6,84,0.496,8.7,23.5,0.37,18.9,27.9,0.676,11.2,35.3,46.5,22.5,15.4,8,6,18.9,110.8,5.5,Dwight Howard,James Harden,Patrick Beverley,Chandler Parsons,Terrence Jones,1.410899447,2.622493847,2.418862982,0.935358895,-1.130973894,6.256641277
-101106-101135-201939-202691-203084-,3.584818659,1294,2014,Golden State Warriors,315.685,36,37.1,83.4,0.446,7.6,22.4,0.338,14,18.3,0.764,11.3,38,49.3,21.7,18.3,5.8,4.8,22,95.8,-5.6,Andrew Bogut,David Lee,Stephen Curry,Klay Thompson,Harrison Barnes,0.149724709,1.872555924,2.295928809,1.482090873,-1.935500705,3.864799609
-2755-201147-201567-201593-201937-,12.83612292,4376,2014,Minnesota Timberwolves,1052.323333,51,42.3,88.3,0.479,7.8,19.8,0.394,22.2,26.9,0.825,11.9,32.8,44.7,27.5,13.7,9.5,1.9,16.2,114.6,12.2,Kevin Martin,Corey Brewer,Kevin Love,Nikola Pekovic,Ricky Rubio,-1.304779829,1.251336465,1.359509442,2.067168868,2.492847129,5.866082075
-2561-201579-201588-202331-202362-,11.80654784,6955,2014,Indiana Pacers,1468.406667,73,40.2,85.3,0.471,7,18.5,0.379,18.3,22.9,0.797,10,37.6,47.6,23.6,15.7,6.8,6.8,20,105.7,9.4,David West,Roy Hibbert,George Hill,Paul George,Lance Stephenson,1.928166167,0.351374746,0.841507435,1.617675287,0.712221041,5.450944675
-2772-101162-202322-202344-203078-,7.71889598,2786,2014,Washington Wizards,690.9333333,50,42.6,92,0.462,8.5,20.5,0.416,10.7,15.5,0.69,12.2,32.8,44.9,25.3,13.5,8.3,4.9,17.4,104.3,1.3,Trevor Ariza,Marcin Gortat,John Wall,Trevor Booker,Bradley Beal,1.026206614,2.773533816,0.45217992,-1.649646358,0.433679977,3.035953968
-2772-101110-101162-202322-202344-,6.563853997,847,2014,Washington Wizards,201.6333333,45,43.6,87.4,0.499,10.8,25.9,0.419,13.8,18,0.767,10.3,31.3,41.6,25.9,15,7.6,4.2,20.2,111.8,6.7,Trevor Ariza,Martell Webster,Marcin Gortat,John Wall,Trevor Booker,1.026206614,-0.754344642,2.773533816,0.45217992,-1.649646358,1.847929349
-2570-200757-201142-201566-201586-,9.42213426,2001,2014,Oklahoma City Thunder,349.3066667,24,39.3,86.3,0.455,3.9,13.8,0.286,16.3,21,0.779,11.5,35.2,46.8,23.5,16.1,9,8,19.6,98.9,-3.9,Kendrick Perkins,Thabo Sefolosha,Kevin Durant,Russell Westbrook,Serge Ibaka,-1.121175048,-0.868079644,2.501268855,2.066423815,2.666886696,5.245324674
-2216-2419-201144-201188-201584-,12.49046786,2444,2014,Memphis Grizzlies,592.075,35,44.5,91.8,0.485,4.8,12.6,0.384,13.7,18.2,0.75,10.5,35.8,46.3,24.5,12,7.8,4.6,15.5,107.6,8.6,Zach Randolph,Tayshaun Prince,Mike Conley,Marc Gasol,Courtney Lee,1.541863472,0.201950308,1.005243428,-0.445050307,0.670730717,2.974737619
