player_id,player
76001,Alaa Abdelnaby
76002,Zaid Abdul-Aziz
76003,Kareem Abdul-Jabbar
51,Mahmoud Abdul-Rauf
1505,Tariq Abdul-Wahad
949,Shareef Abdur-Rahim
76005,Tom Abernethy
76006,Forest Able
76007,John Abramovic
203518,Alex Abrines
1630173,Precious Achiuwa
101165,Alex Acker
76008,Donald Ackerman
76009,Mark Acres
76010,Charles Acton
203112,Quincy Acy
76011,Alvan Adams
76012,Don Adams
200801,Hassan Adams
1629121,Jaylen Adams
203919,Jordan Adams
149,Michael Adams
203500,Steven Adams
912,Rafael Addison
1628389,Bam Adebayo
1629061,Deng Adel
76015,Rick Adelman
202399,Jeff Adrien
201167,Arron Afflalo
1630534,Ochai Agbaji
200772,Maurice Ager
76016,Mark Aguirre
201336,Blake Ahearn
76017,Danny Ainge
201582,Alexis Ajinca
1642351,Melvin Ajinca
76018,Henry Akin
203006,Josh Akognon
1629152,DeVaughn Akoon-Purcell
202374,Solomon Alabi
76019,Mark Alarie
76020,Gary Alcorn
1630583,Santi Aldama
203128,Furkan Aldemir
202332,Cole Aldrich
200746,LaMarcus Aldridge
76021,Chuck Aleksinas
1626146,Cliff Alexander
724,Cory Alexander
2042,Courtney Alexander
76022,Gary Alexander
201570,Joe Alexander
1629734,Kyle Alexander
1641725,Trey Alexander
1630234,Ty-Shon Alexander
2349,Victor Alexander
1629638,Nickeil Alexander-Walker
76024,Steve Alford
1628959,Rawle Alkins
76028,Bob Allen
1628960,Grayson Allen
1628386,Jarrett Allen
706,Jerome Allen
1628443,Kadeem Allen
202730,Lavoy Allen
76027,Lucius Allen
2124,Malik Allen
76025,Randy Allen
951,Ray Allen
1641851,Timmy Allen
2754,Tony Allen
76029,Odis Allison
200984,Lance Allred
76030,Darrell Allums
201165,Morris Almond
308,Derrick Alston
1747,Rafer Alston
1824,Peter Aluma
1630631,Jose Alvarado
680,John Amaechi
732,Ashraf Amaya
202329,Al-Farouq Aminu
200811,Lou Amundson
76034,Bob Anderegg
2365,Chris Andersen
2431,David Andersen
101187,Alan Anderson
202079,Antonio Anderson
76035,Cliff Anderson
76036,Daniel Anderson
1507,Derek Anderson
76037,Dwight Anderson
944,Eric Anderson
246,Greg Anderson
202341,James Anderson
76040,Jerome Anderson
1626147,Justin Anderson
72,Kenny Anderson
76041,Kim Anderson
203937,Kyle Anderson
76042,Michael Anderson
76043,Mitchell Anderson
98,Nick Anderson
76045,Richard Anderson
76046,Ron Anderson
201583,Ryan Anderson
1000,Shandon Anderson
335,Willie Anderson
76048,Wally Anderzunas
101149,Martynas Andriuskevicius
76049,Don Anielak
1628387,Ike Anigbogu
76050,Michael Ansley
1512,Chris Anstey
203507,Giannis Antetokounmpo
1628961,Kostas Antetokounmpo
203648,Thanasis Antetokounmpo
2546,Carmelo Anthony
1630175,Cole Anthony
21,Greg Anthony
201202,Joel Anthony
203544,Pero Antic
1628384,O.G. Anunoby
203951,Keith Appling
2737,Rafael Araujo
76053,Stacey Arceneaux
76054,Nate Archibald
2425,Robert Archibald
1627853,Ryan Arcidiacono
76055,Jim Ard
2240,Gilbert Arenas
2772,Trevor Ariza
76056,Paul Arizin
76057,Joe Arlauckas
769,B.J. Armstrong
76061,Bob Armstrong
2220,Brandon Armstrong
353,Darrell Armstrong
200756,Hilton Armstrong
76060,Paul Armstrong
76059,Tate Armstrong
76062,Jesse Arnelle
76063,Jay Arnette
76064,Bob Arnzen
2306,Carlos Arroyo
201589,Darrell Arthur
76065,John Arthurs
1628503,Jamel Artis
355,Vincent Askew
173,Keith Askins
76068,Don Asmonga
76069,Richard Atha
1088,Chucky Atkins
76070,Alvin Attles
76071,Chet Aubuchon
278,Stacey Augmon
201571,D.J. Augustin
200788,James Augustine
1134,Ike Austin
76073,John Austin
76074,Ken Austin
1630166,Deni Avdija
138,Anthony Avent
76076,William Averitt
1895,William Avery
76078,Dennis Awtrey
1630555,Joel Ayayi
202970,Gustavo Ayon
201965,Jeff Ayres
1629028,Deandre Ayton
101235,Kelenna Azubuike
1628962,Udoka Azubuike
201600,Omer Asik
203569,Chris Babb
202337,Luke Babbitt
76079,Milos Babic
76080,Johnny Bach
1628407,Dwayne Bacon
1630641,Ibou Badji
76081,Jim Baechtold
2053,Dalibor Bagaric
76082,John Bagley
1628963,Marvin Bagley III
1641735,Amari Bailey
76084,Carl Bailey
76083,Gus Bailey
76085,James Bailey
1847,Thurl Bailey
1753,Toby Bailey
203946,Cameron Bairstow
1858,Mark Baker
2486,Maurice Baker
76089,Norm Baker
1627758,Ron Baker
452,Vin Baker
1627735,Wade Baldwin IV
1631116,Patrick Baldwin Jr.
200764,Renaldo Balkman
76090,Cedric Ball
1630163,LaMelo Ball
1628366,Lonzo Ball
76091,Greg Ballard
76092,Herschel Baltimore
1628964,Mo Bamba
1631094,Paolo Banchero
1630217,Desmond Bane
76093,Gene Banks
2556,Marcus Banks
76094,Ken Bannister
76095,Mike Bantom
1630625,Dalano Banton
1627760,Cat Barber
76096,John Barber
2571,Leandro Barbosa
76097,Stephen Bardo
200826,J.J. Barea
200745,Andrea Bargnani
76098,Cliff Barker
76099,Tom Barker
787,Charles Barkley
2057,Erick Barkley
76102,Don Barksdale
1631230,Dominick Barlow
203084,Harrison Barnes
76103,Harry Barnes
76105,Jim Barnes
76104,Marvin Barnes
2440,Matt Barnes
1630567,Scottie Barnes
76107,Dick Barnett
76106,Jim Barnett
76108,John Barnhill
76109,Norton Barnhill
76110,Leo Barnhorst
76111,John Barr
76112,Mike Barr
76113,Thomas Barr
2857,Andre Barrett
76114,Ernie Barrett
1629628,RJ Barrett
2853,Earl Barron
344,Dana Barros
699,Brent Barry
1003,Drew Barry
468,Jon Barry
600013,Rick Barry
76117,Ed Bartels
76118,Vic Bartolome
203115,Will Barton
101188,Eddie Basden
76119,Jerry Baskerville
101138,Brandon Bass
1628238,Paris Bass
76120,Tim Bassett
1629646,Charles Bassey
1766,Maceo Baston
2370,Mengke Bateer
76121,Billyray Bates
1641734,Emoni Bates
1628966,Keita Bates-Diop
101212,Esteban Batista
2471,Mike Batiste
1499,Tony Battie
2203,Shane Battier
1642419,Jamison Battle
174,John Battle
76123,Kenny Battle
76124,Dave Batton
201587,Nicolas Batum
76125,Johnny Baum
76126,Frankie Baumholtz
2437,Lonny Baxter
201573,Jerryd Bayless
76127,Elgin Baylor
203382,Aron Baynes
76128,Sergei Bazarevich
203145,Kent Bazemore
1629647,Darius Bazley
76129,Ed Beach
203078,Bradley Beal
76130,Butch Beard
76131,Ralph Beard
2602,Jerome Beasley
1627736,Malik Beasley
201563,Michael Beasley
76133,Zelmo Beaty
201958,Rodrigue Beaubois
1630699,MarJon Beauchamp
76134,Byron Beck
1133,Corey Beck
76136,Ernie Beck
76137,Moe Becker
76138,William Bedford
1641736,Reece Beekman
76139,Hank Beenders
76140,Ron Behagen
76141,Elmer Behnke
201158,Marco Belinelli
2294,Charlie Bell
76142,Dennis Bell
1628395,Jordan Bell
1952,Raja Bell
2559,Troy Bell
76143,William Bell
76144,Walt Bellamy
1627761,DeAndre' Bembry
76145,Irv Bemoras
76146,Leon Benbow
1627733,Dragan Bender
1886,Jonathan Bender
203968,Jerrelle Benimon
104,Benoit Benjamin
1736,Corey Benjamin
203461,Anthony Bennett
1120,Elmer Bennett
712,Mario Bennett
76151,Mel Bennett
76148,Tony Bennett
76152,Winston Bennett
128,David Benoit
202728,Keith Benson
76154,Kent Benson
1627791,Ben Bentil
76155,Gene Berce
76156,Gary Bergen
1631262,Jules Bernard
76157,Ricky Berry
76158,Walter Berry
1629541,Dairis Bertans
202722,Dāvis Bertāns
76159,Del Beshore
696,Travis Best
201976,Patrick Beverley
1630180,Saddiq Bey
1630189,Tyler Bey
204021,Sim Bhullar
76160,Al Bianchi
76161,Hank Biasatti
76162,Henry Bibby
1710,Mike Bibby
76163,Ed Biedenbach
2740,Andris Biedrins
76164,Don Bielke
76165,Bob Bigelow
1497,Chauncey Billups
76166,Dave Bing
76167,Joe Binion
203920,Khem Birch
1628444,Jabari Bird
76168,Jerry Bird
1449,Larry Bird
76170,Otis Birdsong
76171,Gale Bishop
1629048,Goga Bitadze
1641931,Onuralp Bitim
202687,Bismack Biyombo
202357,Nemanja Bjelica
76172,Uwe Blab
1641710,Anthony Black
76173,Charlie Black
1641778,Leaky Black
76174,Norman Black
204028,Tarik Black
76175,Tom Black
76176,Rolando Blackman
