year,team,player_1,player_2,player_3,player_4,player_5,PM_minus_RAPM,Appearances
2014,Atlanta Hawks,Kyle Korver,Paul Millsap,Al Horford,Jeff Teague,DeMarre Carroll,-7.66746076050465,1563
2014,Brooklyn Nets,Paul Pierce,Joe Johnson,Shaun Livingston,Deron Williams,Mason Plumlee,-4.528961189195014,1051
2014,Los Angeles Lakers,Pau Gasol,Jodie Meeks,Wesley Johnson,Kendall Marshall,Ryan Kelly,0.8468081133233114,812
2014,Minnesota Timberwolves,Kevin Martin,Corey Brewer,Kevin Love,Ricky Rubio,Gorgui Dieng,-6.813515756487114,906
2014,Denver Nuggets,Randy Foye,Wilson Chandler,JJ Hickson,Ty Lawson,Kenneth Faried,1.9873023048937124,2019
2014,Oklahoma City Thunder,Kendrick Perkins,Thabo Sefolosha,Kevin Durant,Serge Ibaka,Reggie Jackson,-3.4994610206880736,2161
2014,Houston Rockets,Dwight Howard,James Harden,Patrick Beverley,Chandler Parsons,Terrence Jones,-8.114451419801036,2541
2014,Golden State Warriors,Andrew Bogut,David Lee,Stephen Curry,Klay Thompson,Harrison Barnes,-14.009803949839284,1294
2014,Minnesota Timberwolves,Kevin Martin,Corey Brewer,Kevin Love,Nikola Pekovic,Ricky Rubio,-0.5645945943544604,4376
2014,Indiana Pacers,David West,Roy Hibbert,George Hill,Paul George,Lance Stephenson,-2.4612556136379915,6955
2014,Washington Wizards,Trevor Ariza,Marcin Gortat,John Wall,Trevor Booker,Bradley Beal,-5.306235835343657,2786
2014,Washington Wizards,Trevor Ariza,Martell Webster,Marcin Gortat,John Wall,Trevor Booker,2.678905736655671,847
2014,Oklahoma City Thunder,Kendrick Perkins,Thabo Sefolosha,Kevin Durant,Russell Westbrook,Serge Ibaka,-15.31382648981885,2001
2014,Memphis Grizzlies,Zach Randolph,Tayshaun Prince,Mike Conley,Marc Gasol,Courtney Lee,2.1269709420777065,2444
2014,Atlanta Hawks,Kyle Korver,Paul Millsap,Jeff Teague,DeMarre Carroll,Pero Antic,-5.77395801747757,1553
2014,Chicago Bulls,Mike Dunleavy,Carlos Boozer,Kirk Hinrich,Joakim Noah,Jimmy Butler,0.6240476731015185,2837
2014,Chicago Bulls,Mike Dunleavy,Joakim Noah,D.J. Augustin,Taj Gibson,Jimmy Butler,0.15694692537802446,828
2014,Chicago Bulls,Kirk Hinrich,Joakim Noah,D.J. Augustin,Taj Gibson,Jimmy Butler,3.8228026639058967,938
2014,Philadelphia 76ers,Thaddeus Young,James Anderson,Hollis Thompson,Henry Sims,Michael Carter-Williams,-2.6187826316010376,1227
2014,Portland Trail Blazers,LaMarcus Aldridge,Robin Lopez,Nicolas Batum,Wesley Matthews,Damian Lillard,-4.8878947364327985,6284
2014,Phoenix Suns,Channing Frye,P.J. Tucker,Goran Dragic,Eric Bledsoe,Miles Plumlee,2.7946226275125827,1696
2014,Toronto Raptors,Amir Johnson,Kyle Lowry,DeMar DeRozan,Jonas Valanciunas,Terrence Ross,-3.135465043130465,3036
2014,New York Knicks,Tyson Chandler,Amar'e Stoudemire,Carmelo Anthony,JR Smith,Raymond Felton,0.6123223172230443,1051
2014,Washington Wizards,Nene,Trevor Ariza,Marcin Gortat,John Wall,Bradley Beal,0.05067120239299072,2709
2014,Washington Wizards,Nene,Trevor Ariza,Martell Webster,Marcin Gortat,John Wall,2.335812774392319,997
2014,Golden State Warriors,Andre Iguodala,Andrew Bogut,David Lee,Stephen Curry,Klay Thompson,-4.112373062539719,3311
2014,Utah Jazz,Richard Jefferson,Marvin Williams,Derrick Favors,Gordon Hayward,Trey Burke,0.998107422684509,2279
2014,Sacramento Kings,Rudy Gay,Jason Thompson,DeMarcus Cousins,Isaiah Thomas,Ben McLemore,-10.661264579744454,1273
2014,LA Clippers,Jamal Crawford,Chris Paul,Jared Dudley,DeAndre Jordan,Blake Griffin,-6.662828481836043,1112
